City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
357,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
358,Odienne,CI,84.09,few clouds,9.51,-7.5692,Oustaz Vame DIAKITE
366,Camocim,BR,84.2,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
378,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
380,Lucea,JM,82.26,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
382,Chuy,UY,81.9,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
384,Owando,CG,82.65,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
391,Larap,PH,75.65,overcast clouds,14.299,122.6504,Montemayor Cove
392,Tual,ID,80.62,broken clouds,-5.6667,132.75,Grand Vilia Hotel
395,Bandarbeyla,SO,75.04,scattered clouds,9.4942,50.8122,JABIR HOTEL
397,Biak,ID,75.92,overcast clouds,-0.9131,122.8766,Penginapan Kim
398,Minjur,IN,80.01,clear sky,13.2667,80.2667,Whitefield Integrated Residential Township
402,Santa Fe,AR,75.16,light rain,-31.6333,-60.7,Conquistador Hotel
414,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
418,Sao Filipe,CV,79.57,few clouds,14.8961,-24.4956,Hotel Xaguate
421,Illapel,CL,79.41,few clouds,-31.6308,-71.1653,Hotel Londres
422,Manavalakurichi,IN,84.29,overcast clouds,8.1333,77.3,Jebinrio home
424,Ranong,TH,75.92,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
430,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
435,Bom Jesus Da Lapa,BR,87.6,overcast clouds,-13.255,-43.4181,Hotel das Nações
438,Santa Isabel,BR,78.51,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
442,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
444,Alugan,PH,77.95,overcast clouds,12.2188,125.4808,JM Lodge
445,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
446,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
448,Tabou,CI,80.15,scattered clouds,4.423,-7.3528,hotêl doufoulougou
450,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
454,Gizo,SB,80.49,moderate rain,-8.103,156.8419,Imagination Island
464,Coro,VE,83.89,scattered clouds,11.4045,-69.6734,Federal
467,Nouadhibou,MR,82.38,broken clouds,20.931,-17.0347,El Medina
473,Ewa Beach,US,77.02,clear sky,21.3156,-158.0072,Uncle Junior Robert
474,Bonthe,SL,80.22,clear sky,7.5264,-12.505,Bonthe Holiday Village
477,Celestun,MX,79.0,few clouds,20.8667,-90.4,Posada Lilia
488,Khartoum,SD,75.02,clear sky,15.5518,32.5324,Hotel China
489,Tadine,NC,80.4,overcast clouds,-21.55,167.8833,
490,Bang Saphan,TH,76.05,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
491,Vizianagaram,IN,76.51,broken clouds,18.1167,83.4167,Anupriya Residency
495,Hobyo,SO,76.8,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
498,Aripuana,BR,80.13,overcast clouds,-9.1667,-60.6333,
499,Vanimo,PG,76.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
500,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
501,Candelaria,PH,76.39,broken clouds,13.9311,121.4233,Casa de Provincia
505,Namibe,AO,76.05,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
513,Pontes E Lacerda,BR,84.06,light rain,-15.2261,-59.3353,Hotel Bressan
516,Kayes,ML,85.35,clear sky,14.0,-11.0,
521,Dimbokro,CI,86.92,clear sky,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
526,Maldonado,UY,81.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
529,Padang,ID,77.14,overcast clouds,-0.9492,100.3543,Mercure Padang
531,Progreso,MX,85.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
533,Phan Thiet,VN,75.97,overcast clouds,10.9333,108.1,Hotel Saigon-PT
535,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
538,Conceicao Do Araguaia,BR,84.83,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
543,Mogadishu,SO,76.96,clear sky,2.0371,45.3438,Hotel Juba
548,Ugoofaaru,MV,81.43,overcast clouds,5.6667,73.0,Ungoofaaru Inn
553,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
558,Kapoeta,SS,89.56,overcast clouds,4.7717,33.5903,Eastgate Hotel
559,Kismayo,SO,77.4,clear sky,-0.3582,42.5454,Agan-Hotel
561,Sanguem,IN,78.28,clear sky,15.2333,74.1667,Hotel
562,Moron,AR,76.75,light rain,-34.6534,-58.6198,Hotel Morón
564,Bull Savanna,JM,78.71,broken clouds,17.8868,-77.5902,Big Red's
570,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
573,Hualmay,PE,75.6,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
575,Harper,LR,80.69,scattered clouds,4.375,-7.7169,Screensaver
578,Sumenep,ID,75.42,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
