City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Sakakah,SA,29.9697,40.2064,53.17,45,66,8.81,broken clouds
300,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,13,7.92,few clouds
301,Ribeira Grande,PT,38.5167,-28.7,63.0,63,75,8.05,broken clouds
302,Port Hueneme,US,34.1478,-119.1951,86.32,26,0,8.05,clear sky
303,Kartaly,RU,53.0522,60.6467,12.16,96,98,9.44,overcast clouds
304,Sidney,AU,-33.8679,151.2073,70.9,67,75,16.11,broken clouds
305,Sioux Lookout,CA,50.1001,-91.917,-3.62,65,75,10.36,broken clouds
306,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,0,3.44,clear sky
307,Otradnoye,RU,59.7775,30.8181,28.45,93,41,8.59,scattered clouds
308,Richards Bay,ZA,-28.783,32.0377,74.37,85,5,4.27,clear sky
309,Zaqatala,AZ,41.6336,46.6433,37.87,93,75,6.91,broken clouds
310,Ferkessedougou,CI,9.6,-5.2,85.5,10,79,5.1,broken clouds
311,Paamiut,GL,61.994,-49.6678,31.3,79,100,17.81,overcast clouds
312,Yarensk,RU,62.1675,49.0916,18.97,96,100,5.17,overcast clouds
313,Bocsa,RO,45.3733,21.7092,50.16,84,16,2.95,few clouds
314,Horni Slavkov,CZ,50.1386,12.8076,35.58,89,75,11.5,light shower snow
315,Hauterive,FR,46.0901,3.4459,40.62,81,0,4.07,clear sky
316,Paracuru,BR,-3.41,-39.0306,87.82,70,3,12.68,clear sky
317,Inirida,CO,3.8653,-67.9239,91.53,48,76,1.5,broken clouds
318,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,75,75,25.32,broken clouds
319,Okhotsk,RU,59.3833,143.3,-10.89,87,84,7.81,broken clouds
320,Mercedes,AR,-34.6515,-59.4307,74.64,69,100,23.76,light rain
321,Beirut,LB,33.8889,35.4944,56.14,62,0,4.61,clear sky
322,Zyryanka,RU,65.75,150.85,-37.39,99,49,6.33,scattered clouds
323,Praya,CV,14.9215,-23.5087,81.14,47,11,20.71,few clouds
324,Kindu,CD,-2.95,25.95,71.6,88,85,1.05,overcast clouds
325,Nome,US,64.5011,-165.4064,-3.93,54,0,11.5,clear sky
326,Narsaq,GL,60.9167,-46.05,23.22,74,100,4.07,overcast clouds
327,Fairbanks,US,64.8378,-147.7164,-1.7,74,100,8.05,overcast clouds
328,Alofi,NU,-19.0595,-169.9187,76.89,94,3,4.61,clear sky
329,Havoysund,NO,70.9963,24.6622,30.43,57,100,19.8,snow
330,Omboue,GA,-1.5746,9.2618,78.51,86,100,6.51,light rain
331,Knysna,ZA,-34.0363,23.0471,66.58,77,0,2.35,clear sky
332,La Ronge,CA,55.1001,-105.2842,-18.15,52,75,3.44,broken clouds
333,Banfora,BF,10.6333,-4.7667,85.66,9,6,6.24,clear sky
334,Kruisfontein,ZA,-34.0033,24.7314,64.0,79,0,1.99,clear sky
335,Touros,BR,-5.1989,-35.4608,86.9,66,42,13.51,scattered clouds
336,Finsterwalde,DE,51.6333,13.7167,38.82,78,100,10.0,overcast clouds
337,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,68,0,4.61,clear sky
338,Bowen,AU,-20.0167,148.2333,70.02,79,0,7.05,clear sky
339,Sena Madureira,BR,-9.0656,-68.6569,83.35,83,87,3.47,overcast clouds
340,Lucapa,AO,-8.4192,20.7447,69.28,85,100,1.61,light rain
341,Roebourne,AU,-20.7833,117.1333,85.03,71,54,4.88,broken clouds
342,Erenhot,CN,43.6475,111.9767,5.58,96,99,3.91,overcast clouds
343,Jiazi,CN,22.8779,116.067,60.03,89,62,9.69,broken clouds
344,Miram Shah,PK,33.0086,70.0697,50.18,39,0,3.33,clear sky
345,Kyra,RU,49.5776,111.9753,-17.86,95,25,4.7,scattered clouds
346,Marawi,PH,7.9986,124.2928,66.65,94,14,0.96,few clouds
347,Rock Sound,BS,24.9,-76.2,75.81,79,19,9.62,few clouds
348,Versalles,FR,48.8,2.1333,42.28,76,75,4.61,broken clouds
